                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.31479,                 1.1829,                0.86474,                      1,                      1,                  0.995,                  0.995,                0.21036,                  1.491,                0.74666,                      0,                      0,                      0
                      2,                 0.4459,                 1.1273,                0.86442,                      1,                      1,                  0.995,                  0.995,                0.20949,                   1.48,                0.74446,             1.6653e-05,             1.6653e-05,             1.6653e-05
                      3,                 0.3718,                   1.47,                0.86852,                      1,                      1,                  0.995,                  0.995,                0.20937,                 1.4668,                0.74205,             3.3274e-05,             3.3274e-05,             3.3274e-05
                      4,                0.22055,                0.83844,                0.84228,                      1,                      1,                  0.995,                  0.995,                0.20513,                 1.4637,                0.74028,             4.9861e-05,             4.9861e-05,             4.9861e-05
                      5,                0.31513,                 1.0404,                0.92432,                      1,                      1,                  0.995,                  0.995,                0.24043,                 1.9089,                0.81408,             6.6416e-05,             6.6416e-05,             6.6416e-05
                      6,                0.21682,                0.82566,                0.83399,                      1,                      1,                  0.995,                  0.995,                 0.3223,                 1.6008,                0.91671,             8.2937e-05,             8.2937e-05,             8.2937e-05
                      7,                0.43741,                 1.0653,                 1.0598,                0.97598,                      1,                  0.995,                0.94505,                0.27498,                 1.7098,                0.79766,             9.9426e-05,             9.9426e-05,             9.9426e-05
                      8,                0.32716,                0.82161,                0.88192,                0.96137,                      1,                  0.995,                 0.9203,                0.30063,                 1.7413,                0.77331,             0.00011588,             0.00011588,             0.00011588
                      9,                0.39084,                0.97477,                0.88176,                0.97165,                      1,                  0.995,                  0.995,                0.31167,                 1.9238,                0.78442,              0.0001323,              0.0001323,              0.0001323
                     10,                 0.2416,                0.66377,                0.90631,                 0.9501,                      1,                  0.995,                  0.995,                0.31869,                 2.3787,                0.82674,             0.00014869,             0.00014869,             0.00014869
                     11,                0.29434,                0.94074,                0.93853,                0.94995,                      1,                  0.995,                  0.995,                0.32032,                 2.3109,                0.82824,             0.00016505,             0.00016505,             0.00016505
                     12,                0.30957,                0.91257,                0.92253,                 0.9789,                      1,                  0.995,                  0.995,                0.35234,                 2.9893,                0.88099,             0.00018137,             0.00018137,             0.00018137
                     13,                0.30853,                0.70847,                0.92817,                0.97886,                      1,                  0.995,                  0.995,                0.42451,                 4.4406,                0.93418,             0.00019766,             0.00019766,             0.00019766
                     14,                 0.3727,                0.77175,                0.96499,                0.97557,                      1,                  0.995,                  0.995,                0.34325,                 3.4719,                0.89286,             0.00021392,             0.00021392,             0.00021392
                     15,                0.28303,                0.73254,                0.92906,                 0.9651,                      1,                  0.995,                0.94504,                0.34257,                 2.7135,                0.88914,             0.00023015,             0.00023015,             0.00023015
                     16,                0.36435,                0.75863,                0.99584,                      1,                      1,                  0.995,                0.94504,                0.42834,                 2.9803,                 1.0584,             0.00024634,             0.00024634,             0.00024634
                     17,                0.37247,                0.71812,                0.88852,                0.85826,                      1,                  0.995,                  0.995,                0.30743,                 2.0991,                0.81637,              0.0002625,              0.0002625,              0.0002625
                     18,                0.33141,                0.59773,                0.89818,                0.85826,                      1,                  0.995,                  0.995,                0.30743,                 2.0991,                0.81637,             0.00027862,             0.00027862,             0.00027862
                     19,                0.32066,                0.63255,                0.94714,                0.94826,                      1,                  0.995,                  0.995,                 0.3311,                 2.0604,                0.83641,             0.00029471,             0.00029471,             0.00029471
                     20,                0.33857,                 0.6689,                 0.8829,                0.94826,                      1,                  0.995,                  0.995,                 0.3311,                 2.0604,                0.83641,             0.00031077,             0.00031077,             0.00031077
                     21,                0.25178,                0.63083,                0.85389,                0.97761,                      1,                  0.995,                0.94504,                0.46262,                 1.7356,                 0.9616,              0.0003268,              0.0003268,              0.0003268
                     22,                0.40486,                0.78916,                0.91547,                0.97761,                      1,                  0.995,                0.94504,                0.46262,                 1.7356,                 0.9616,             0.00034279,             0.00034279,             0.00034279
                     23,                0.49708,                0.71614,                0.99788,                   0.98,                      1,                  0.995,                0.94504,                0.41042,                 1.5507,                0.92045,             0.00035875,             0.00035875,             0.00035875
                     24,                 0.4449,                0.78235,                0.96263,                   0.98,                      1,                  0.995,                0.94504,                0.41042,                 1.5507,                0.92045,             0.00037468,             0.00037468,             0.00037468
                     25,                0.38893,                0.61476,                0.96368,                0.98085,                      1,                  0.995,                0.94504,                0.40075,                  1.182,                0.99517,             0.00039057,             0.00039057,             0.00039057
