                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.31479,                 1.1829,                0.86474,                      1,                      1,                  0.995,                  0.995,                0.21036,                  1.491,                0.74666,                      0,                      0,                      0
                      2,                 0.4459,                 1.1273,                0.86442,                      1,                      1,                  0.995,                  0.995,                0.20949,                   1.48,                0.74446,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 0.3718,                   1.47,                0.86852,                      1,                      1,                  0.995,                  0.995,                0.20937,                 1.4668,                0.74205,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                0.22055,                0.83844,                0.84228,                      1,                      1,                  0.995,                  0.995,                0.20513,                 1.4637,                0.74028,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                0.31513,                 1.0404,                0.92432,                      1,                      1,                  0.995,                  0.995,                0.23749,                 1.8517,                0.80921,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                0.21322,                0.82131,                0.83299,                      1,                      1,                  0.995,                  0.995,                0.31884,                 1.6476,                0.91057,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                0.43567,                 1.0702,                 1.0577,                0.97182,                      1,                  0.995,                  0.995,                0.26033,                 1.6462,                 0.8023,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                0.31626,                0.80344,                0.88109,                0.90321,                      1,                  0.995,                0.94505,                0.26946,                 1.7672,                0.76724,              0.0001086,              0.0001086,              0.0001086
                      9,                0.38431,                0.97811,                0.88195,                0.97378,                      1,                  0.995,                 0.9203,                0.32746,                 1.9101,                0.82319,              0.0001228,              0.0001228,              0.0001228
                     10,                 0.2479,                0.66828,                 0.9065,                0.97399,                      1,                  0.995,                 0.9203,                0.33122,                 1.8432,                 0.8229,             0.00013666,             0.00013666,             0.00013666
                     11,                0.31559,                0.87863,                0.95171,                0.97966,                      1,                  0.995,                0.94504,                0.31602,                 1.7842,                0.80323,              0.0001502,              0.0001502,              0.0001502
                     12,                0.35885,                0.79131,                0.93153,                0.98067,                      1,                  0.995,                0.94504,                0.35352,                 2.5929,                0.83551,              0.0001634,              0.0001634,              0.0001634
                     13,                0.29072,                0.72581,                0.90209,                 0.9812,                      1,                  0.995,                 0.8955,                0.36451,                 2.9743,                0.87112,             0.00017628,             0.00017628,             0.00017628
                     14,                0.36159,                0.67313,                0.94976,                0.97839,                      1,                  0.995,                 0.8955,                0.40007,                 2.4027,                0.91652,             0.00018882,             0.00018882,             0.00018882
                     15,                0.24774,                0.67545,                0.91406,                      1,                0.99907,                  0.995,                0.94504,                0.39033,                 2.2097,                0.94448,             0.00020103,             0.00020103,             0.00020103
                     16,                0.39298,                0.72132,                 1.0006,                0.47475,                      1,                  0.745,                0.72004,                0.47293,                 2.9024,                 1.0536,             0.00021292,             0.00021292,             0.00021292
                     17,                0.39494,                0.63548,                0.88459,                0.66574,                    0.5,                  0.695,                0.61171,                0.64626,                 2.9624,                 1.1946,             0.00022447,             0.00022447,             0.00022447
                     18,                0.33053,                 0.6626,                0.89411,                0.66574,                    0.5,                  0.695,                0.61171,                0.64626,                 2.9624,                 1.1946,              0.0002357,              0.0002357,              0.0002357
                     19,                0.37487,                0.73026,                 0.9611,                0.95168,                      1,                  0.995,                0.94504,                0.34685,                 1.7516,                0.90727,             0.00024659,             0.00024659,             0.00024659
                     20,                 0.3082,                0.61072,                0.88553,                0.95168,                      1,                  0.995,                0.94504,                0.34685,                 1.7516,                0.90727,             0.00025715,             0.00025715,             0.00025715
                     21,                0.34861,                0.62505,                0.95633,                0.97545,                      1,                  0.995,                  0.995,                0.33621,                 1.5916,                0.87568,             0.00026739,             0.00026739,             0.00026739
                     22,                0.41975,                0.74219,                0.91261,                0.97545,                      1,                  0.995,                  0.995,                0.33621,                 1.5916,                0.87568,             0.00027729,             0.00027729,             0.00027729
                     23,                0.40289,                0.67465,                0.97319,                  0.974,                      1,                  0.995,                0.92029,                0.39274,                 1.3212,                0.89887,             0.00028686,             0.00028686,             0.00028686
                     24,                0.47411,                0.67801,                0.94894,                  0.974,                      1,                  0.995,                0.92029,                0.39274,                 1.3212,                0.89887,             0.00029611,             0.00029611,             0.00029611
                     25,                0.34929,                0.60052,                0.96396,                0.97488,                      1,                  0.995,                0.92029,                 0.4179,                  1.324,                0.91485,             0.00030502,             0.00030502,             0.00030502
                     26,                0.45638,                0.62735,                0.94408,                0.97488,                      1,                  0.995,                0.92029,                 0.4179,                  1.324,                0.91485,              0.0003136,              0.0003136,              0.0003136
                     27,                0.33613,                0.63991,                0.85829,                0.97486,                      1,                  0.995,                 0.9203,                0.45042,                0.93818,                 0.9855,             0.00032186,             0.00032186,             0.00032186
                     28,                0.35585,                0.97112,                 1.0045,                0.97486,                      1,                  0.995,                 0.9203,                0.45042,                0.93818,                 0.9855,             0.00032978,             0.00032978,             0.00032978
                     29,                0.36343,                0.59877,                0.87847,                0.97476,                      1,                  0.995,                 0.8951,                0.52645,                0.75388,                 1.1064,             0.00033737,             0.00033737,             0.00033737
                     30,                0.42683,                 1.1304,                 1.0083,                0.97476,                      1,                  0.995,                 0.8951,                0.52645,                0.75388,                 1.1064,             0.00034464,             0.00034464,             0.00034464
                     31,                0.34387,                0.57361,                0.94691,                0.96747,                      1,                  0.995,                0.84555,                0.52436,                 1.0287,                  1.102,             0.00035157,             0.00035157,             0.00035157
                     32,                0.30745,                0.69136,                 0.9049,                0.96747,                      1,                  0.995,                0.84555,                0.52436,                 1.0287,                  1.102,             0.00035817,             0.00035817,             0.00035817
                     33,                0.47722,                 0.7608,                0.97349,                0.98109,                      1,                  0.995,                0.84555,                0.60713,                 1.2912,                 1.2201,             0.00036445,             0.00036445,             0.00036445
                     34,                0.30654,                0.64343,                0.85186,                0.98109,                      1,                  0.995,                0.84555,                0.60713,                 1.2912,                 1.2201,             0.00037039,             0.00037039,             0.00037039
                     35,                0.51606,                 1.2137,                0.96405,                0.96939,                      1,                  0.995,                  0.995,                0.40285,                 1.5182,                0.95177,               0.000376,               0.000376,               0.000376
                     36,                0.57512,                 1.1865,                 1.0753,                0.96939,                      1,                  0.995,                  0.995,                0.40285,                 1.5182,                0.95177,             0.00038128,             0.00038128,             0.00038128
                     37,                0.33282,                0.69337,                0.90249,                0.88602,                      1,                  0.995,                0.49732,                0.69906,                 3.8595,                 1.2114,             0.00038624,             0.00038624,             0.00038624
                     38,                0.47405,                0.72917,                0.90347,                0.88602,                      1,                  0.995,                0.49732,                0.69906,                 3.8595,                 1.2114,             0.00039086,             0.00039086,             0.00039086
                     39,                0.43663,                0.81228,                 1.0102,                0.27726,                      1,                0.33167,                 0.2985,                0.68422,                 3.6992,                 1.0246,             0.00039515,             0.00039515,             0.00039515
                     40,                 0.5072,                0.60606,                0.93886,                0.27726,                      1,                0.33167,                 0.2985,                0.68422,                 3.6992,                 1.0246,             0.00039911,             0.00039911,             0.00039911
                     41,                 0.4464,                0.73074,                0.92989,                0.78096,                    0.5,                0.66167,                 0.5955,                0.45125,                 3.3407,                0.94348,             0.00040275,             0.00040275,             0.00040275
                     42,                0.63852,                   1.02,                 1.0862,                0.78096,                    0.5,                0.66167,                 0.5955,                0.45125,                 3.3407,                0.94348,             0.00040605,             0.00040605,             0.00040605
                     43,                0.35153,                0.51624,                0.89139,                      1,                0.92172,                  0.995,                  0.795,                0.33732,                 2.1735,                0.89382,             0.00040902,             0.00040902,             0.00040902
                     44,                0.36132,                0.50213,                0.93829,                      1,                0.92172,                  0.995,                  0.795,                0.33732,                 2.1735,                0.89382,             0.00041166,             0.00041166,             0.00041166
                     45,                0.59012,                0.96832,                0.96765,                0.95835,                      1,                  0.995,                0.94504,                0.35534,                 1.2249,                0.88018,             0.00041398,             0.00041398,             0.00041398
                     46,                0.43839,                0.65545,                0.92303,                0.95835,                      1,                  0.995,                0.94504,                0.35534,                 1.2249,                0.88018,             0.00041596,             0.00041596,             0.00041596
                     47,                0.44564,                0.52463,                0.97565,                0.97997,                      1,                  0.995,                  0.995,                0.32931,                 1.1914,                0.86489,             0.00041761,             0.00041761,             0.00041761
                     48,                0.33252,                0.61364,                 1.0649,                0.97997,                      1,                  0.995,                  0.995,                0.32931,                 1.1914,                0.86489,             0.00041893,             0.00041893,             0.00041893
