                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3738,                      1,                0.89189,                0.85211,                0.85926,                0.88173,                0.60349,                0.98206,                 1.1878,                0.86559,                0.03487,              0.0058699,              0.0058699
                     36,                 1.0708,                 1.2256,                0.86815,                0.85211,                0.85926,                0.88173,                0.60349,                0.98206,                 1.1878,                0.86559,               0.032999,              0.0059991,              0.0059991
                     37,                 1.2154,                 1.3142,                0.87347,                0.80907,                0.81784,                0.87163,                0.66094,                0.98061,                0.99785,                0.88464,               0.031126,              0.0061264,              0.0061264
                     38,                 1.1165,                 1.0076,                0.89962,                0.86324,                0.93582,                0.93172,                0.70577,                0.92323,                0.83473,                0.86741,               0.029252,              0.0062516,              0.0062516
                     39,                0.98895,                0.91585,                0.85305,                0.86324,                0.93582,                0.93172,                0.70577,                0.92323,                0.83473,                0.86741,               0.027375,              0.0063749,              0.0063749
                     40,                 1.0729,                 1.1694,                0.91387,                0.88423,                0.79804,                0.87314,                0.63089,                0.93301,                0.98637,                0.87113,               0.025496,              0.0064962,              0.0064962
                     41,                 1.1524,                 1.2378,                0.91111,                0.85894,                0.86535,                0.86809,                 0.6225,                  1.016,                0.84908,                 0.8866,               0.023616,              0.0066155,              0.0066155
                     42,                  1.136,                0.91525,                 0.8741,                0.85894,                0.86535,                0.86809,                 0.6225,                  1.016,                0.84908,                 0.8866,               0.021733,              0.0067329,              0.0067329
                     43,                  1.157,                0.93271,                0.90053,                0.85991,                0.83598,                0.87962,                0.61521,                 1.2447,                0.97465,                0.89408,               0.019848,              0.0068482,              0.0068482
                     44,                 1.4335,                  1.013,                  0.884,                0.85991,                0.83598,                0.87962,                0.61521,                 1.2447,                0.97465,                0.89408,               0.017962,              0.0069616,              0.0069616
                     45,                 1.4327,                0.94528,                0.92302,                0.88906,                    0.6,                0.80755,                 0.5298,                 1.2658,                 1.2442,                0.91764,               0.016073,               0.007073,               0.007073
                     46,                 1.4526,                 1.1894,                0.94362,                0.88906,                    0.6,                0.80755,                 0.5298,                 1.2658,                 1.2442,                0.91764,               0.014182,              0.0071824,              0.0071824
                     47,                 1.5208,                 1.1097,                0.88065,                 0.7684,                0.77648,                0.87153,                0.67294,                0.92451,                  1.034,                0.88295,                0.01229,              0.0072898,              0.0072898
                     48,                 1.3775,                 1.1051,                0.90161,                 0.7684,                0.77648,                0.87153,                0.67294,                0.92451,                  1.034,                0.88295,               0.010395,              0.0073953,              0.0073953
                     49,                 1.2642,                 1.1312,                0.93659,                0.83512,                0.79782,                0.85173,                0.59327,                 1.1687,                 1.2242,                 0.9111,              0.0084988,              0.0074988,              0.0074988
                     50,                 1.0565,                 1.1637,                0.90079,                0.83512,                0.79782,                0.85173,                0.59327,                 1.1687,                 1.2242,                 0.9111,               0.007525,               0.007525,               0.007525
                     51,                 1.4131,                  1.405,                0.94333,                 0.6946,                0.77037,                0.88157,                0.59742,                 1.0938,                 1.3091,                0.91498,               0.007525,               0.007525,               0.007525
                     52,                 1.0084,                 1.1661,                0.86357,                 0.6946,                0.77037,                0.88157,                0.59742,                 1.0938,                 1.3091,                0.91498,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0743,                   1.34,                0.89083,                0.74677,                0.89446,                0.90739,                0.68845,                0.97124,                 1.1192,                0.89784,               0.007426,               0.007426,               0.007426
                     54,                 1.0074,                 0.8842,                 0.9009,                0.74677,                0.89446,                0.90739,                0.68845,                0.97124,                 1.1192,                0.89784,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1652,                0.83332,                0.83234,                0.67692,                0.82963,                0.81849,                0.46205,                 1.5218,                 1.3229,                0.96928,               0.007327,               0.007327,               0.007327
                     56,                 1.7302,                 1.3307,                0.92709,                0.67692,                0.82963,                0.81849,                0.46205,                 1.5218,                 1.3229,                0.96928,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.5511,                 1.0925,                0.95518,                0.81471,                0.88148,                0.90158,                0.67533,                0.98676,                  1.012,                0.86681,               0.007228,               0.007228,               0.007228
                     58,                 1.0618,                0.81797,                0.85238,                0.81471,                0.88148,                0.90158,                0.67533,                0.98676,                  1.012,                0.86681,              0.0071785,              0.0071785,              0.0071785
