                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54692,                0.67162,                 1.0758,                0.97927,                      1,                  0.995,                  0.995,                0.35792,                0.44198,                0.84578,                      0,                      0,                      0
                      2,                0.48649,                0.54978,                 0.8744,                0.97937,                      1,                  0.995,                  0.995,                0.35467,                0.44074,                 0.8417,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                0.55971,                0.68935,                0.98371,                0.97998,                      1,                  0.995,                  0.995,                0.35134,                0.43355,                0.83838,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                0.30826,                0.39804,                0.86033,                 0.9818,                      1,                  0.995,                  0.995,                0.34069,                0.36228,                0.82844,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                0.34783,                0.38122,                0.90908,                0.98185,                      1,                  0.995,                0.92036,                0.33112,                0.41285,                0.81594,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                0.29948,                0.38804,                0.84969,                0.98047,                      1,                  0.995,                  0.995,                0.30337,                0.38555,                0.79078,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                0.33413,                0.44909,                0.94159,                 0.9808,                      1,                  0.995,                  0.995,                0.30434,                0.37769,                0.78855,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                0.32182,                0.40622,                0.88572,                0.98091,                      1,                  0.995,                0.94511,                0.27367,                0.38145,                0.76925,              0.0001086,              0.0001086,              0.0001086
                      9,                0.46399,                0.56859,                0.87634,                0.98175,                      1,                  0.995,                 0.9451,                0.25618,                0.33751,                0.75819,              0.0001228,              0.0001228,              0.0001228
                     10,                0.27384,                0.37507,                0.92622,                0.98108,                      1,                  0.995,                0.92037,                0.23125,                0.33874,                0.73482,             0.00013666,             0.00013666,             0.00013666
                     11,                0.28523,                0.42694,                0.91685,                0.98071,                      1,                  0.995,                  0.995,                0.22281,                0.30683,                0.70925,              0.0001502,              0.0001502,              0.0001502
                     12,                0.30325,                0.38206,                0.93786,                0.98113,                      1,                  0.995,                  0.995,                0.19969,                0.27159,                0.70047,              0.0001634,              0.0001634,              0.0001634
                     13,                0.31657,                0.33116,                0.91557,                0.98182,                      1,                  0.995,                  0.995,                0.19919,                0.35129,                0.71462,             0.00017628,             0.00017628,             0.00017628
                     14,                0.31516,                0.34584,                 0.9199,                0.98241,                      1,                  0.995,                  0.995,                0.20938,                0.39116,                0.73014,             0.00018882,             0.00018882,             0.00018882
                     15,                0.28659,                0.37243,                 0.9177,                0.98207,                      1,                  0.995,                0.92038,                0.31575,                0.35601,                0.78271,             0.00020103,             0.00020103,             0.00020103
                     16,                0.43126,                0.40115,                0.97109,                 0.9826,                      1,                  0.995,                0.92037,                0.43787,                0.42995,                0.97584,             0.00021292,             0.00021292,             0.00021292
                     17,                0.39603,                0.43243,                0.92088,                0.98298,                      1,                  0.995,                0.92037,                0.43852,                0.41743,                0.97594,             0.00022447,             0.00022447,             0.00022447
                     18,                0.30116,                0.32421,                0.87572,                0.98298,                      1,                  0.995,                0.92037,                0.43852,                0.41743,                0.97594,              0.0002357,              0.0002357,              0.0002357
                     19,                0.32514,                0.36901,                0.95628,                0.98089,                      1,                  0.995,                0.92036,                0.51869,                0.49414,                 1.0795,             0.00024659,             0.00024659,             0.00024659
                     20,                0.35547,                0.42509,                0.91849,                0.98089,                      1,                  0.995,                0.92036,                0.51869,                0.49414,                 1.0795,             0.00025715,             0.00025715,             0.00025715
                     21,                 0.2815,                0.32377,                0.88989,                0.97774,                      1,                  0.995,                 0.8955,                0.60789,                0.72116,                 1.1301,             0.00026739,             0.00026739,             0.00026739
                     22,                0.39418,                0.47546,                0.88486,                0.97774,                      1,                  0.995,                 0.8955,                0.60789,                0.72116,                 1.1301,             0.00027729,             0.00027729,             0.00027729
                     23,                0.39003,                0.42585,                0.94543,                0.96997,                      1,                  0.995,                 0.8955,                0.59954,                0.80662,                 1.0635,             0.00028686,             0.00028686,             0.00028686
                     24,                0.42805,                0.43696,                0.90819,                0.96997,                      1,                  0.995,                 0.8955,                0.59954,                0.80662,                 1.0635,             0.00029611,             0.00029611,             0.00029611
                     25,                0.31163,                0.38431,                 0.9411,                0.97162,                      1,                  0.995,                 0.8955,                0.60111,                0.87442,                 1.0509,             0.00030502,             0.00030502,             0.00030502
                     26,                0.41419,                 0.4073,                 0.8998,                0.97162,                      1,                  0.995,                 0.8955,                0.60111,                0.87442,                 1.0509,              0.0003136,              0.0003136,              0.0003136
                     27,                0.36184,                0.38293,                0.86943,                0.99948,                      1,                  0.995,                0.84563,                0.65089,                0.88314,                 1.0635,             0.00032186,             0.00032186,             0.00032186
                     28,                0.42556,                0.42595,                0.94177,                0.99948,                      1,                  0.995,                0.84563,                0.65089,                0.88314,                 1.0635,             0.00032978,             0.00032978,             0.00032978
                     29,                0.32415,                0.37041,                0.85513,                0.65674,                      1,                  0.995,                0.84564,                0.71964,                 1.0079,                 1.1089,             0.00033737,             0.00033737,             0.00033737
                     30,                0.36691,                0.46007,                  0.911,                0.65674,                      1,                  0.995,                0.84564,                0.71964,                 1.0079,                 1.1089,             0.00034464,             0.00034464,             0.00034464
                     31,                0.32237,                0.45025,                0.90266,                0.97349,                      1,                  0.995,                 0.8955,                0.48005,                0.68616,                0.92774,             0.00035157,             0.00035157,             0.00035157
                     32,                 0.3952,                0.41657,                0.94127,                0.97349,                      1,                  0.995,                 0.8955,                0.48005,                0.68616,                0.92774,             0.00035817,             0.00035817,             0.00035817
                     33,                0.36075,                0.52123,                0.91744,                0.96405,                      1,                  0.995,                0.94511,                0.39157,                0.83432,                0.87307,             0.00036445,             0.00036445,             0.00036445
                     34,                0.30742,                0.34198,                0.84003,                0.96405,                      1,                  0.995,                0.94511,                0.39157,                0.83432,                0.87307,             0.00037039,             0.00037039,             0.00037039
                     35,                0.43828,                0.45716,                0.97583,                0.84449,                      1,                  0.995,                 0.9451,                0.39027,                 1.2013,                0.86573,               0.000376,               0.000376,               0.000376
                     36,                0.61202,                0.69736,                 1.0553,                0.84449,                      1,                  0.995,                 0.9451,                0.39027,                 1.2013,                0.86573,             0.00038128,             0.00038128,             0.00038128
                     37,                0.29882,                0.37693,                0.87929,                0.45923,                      1,                 0.4975,                0.44771,                0.50229,                 1.6796,                0.95449,             0.00038624,             0.00038624,             0.00038624
