                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4004,                  7.231,                 1.4126,                0.00803,                0.07407,                0.00524,                0.00151,                  1.898,                 5.4315,                 1.1963,                 0.0991,                 0.0001,                 0.0001
                      1,                 2.2784,                 6.7342,                 1.3099,                0.00758,                0.07407,                0.00507,                0.00146,                 1.9198,                 5.4508,                 1.2014,               0.097299,             0.00029851,             0.00029851
                      2,                 2.1345,                 7.5302,                 1.1711,                0.00775,                0.07407,                0.00514,                0.00148,                  1.949,                 5.4536,                 1.2087,               0.095495,             0.00049505,             0.00049505
                      3,                 2.4345,                 7.1472,                 1.2972,                 0.0068,                0.07407,                0.00505,                0.00223,                 1.7911,                 5.1363,                 1.1679,                0.09369,              0.0006896,              0.0006896
                      4,                 2.0326,                 5.9829,                 1.2263,                0.01027,                0.22222,                0.01738,                0.00914,                 1.3196,                 4.1488,                 1.0131,               0.091882,             0.00088218,             0.00088218
                      5,                 1.6735,                 4.7197,                 1.1135,                0.38943,                0.41808,                 0.3936,                0.27374,                 1.2373,                 2.9051,                 0.9415,               0.090073,              0.0010728,              0.0010728
                      6,                 1.3439,                 3.7064,                0.98992,                0.71209,                0.37728,                0.51804,                0.36065,                 1.1905,                 2.5818,                0.91029,               0.088261,              0.0012614,              0.0012614
                      7,                 1.2763,                 2.5169,                0.96721,                0.49131,                0.46931,                 0.5549,                0.42602,                 1.1249,                 2.1983,                0.90966,               0.086448,               0.001448,               0.001448
                      8,                0.92563,                 2.0846,                0.87391,                0.46282,                0.64685,                0.57446,                0.44926,                 1.0712,                  1.941,                0.90899,               0.084633,              0.0016327,              0.0016327
                      9,                  1.074,                 2.6706,                0.85554,                0.61918,                 0.2908,                0.46337,                0.35872,                0.98518,                 2.4365,                0.89448,               0.082815,              0.0018154,              0.0018154
                     10,                0.97114,                 1.9292,                0.85561,                0.59202,                0.51852,                0.59827,                0.46523,                0.98852,                 1.7647,                0.88295,               0.080996,               0.001996,               0.001996
                     11,                0.88793,                 1.6876,                0.83471,                0.57737,                0.60074,                0.67605,                0.51617,                 1.0039,                 1.6757,                0.89041,               0.079175,              0.0021748,              0.0021748
                     12,                 1.0491,                 1.7604,                0.99346,                0.65233,                0.73246,                0.71718,                0.52878,                 0.9948,                 1.5253,                 0.8866,               0.077352,              0.0023515,              0.0023515
                     13,                 1.0568,                 1.9956,                0.93836,                 0.8269,                 0.5949,                0.70833,                0.53389,                0.99218,                 1.3387,                0.87126,               0.075526,              0.0025263,              0.0025263
                     14,                0.85764,                 1.7715,                0.85467,                0.83136,                0.66693,                0.71687,                0.55776,                0.88492,                 1.8415,                0.86874,               0.073699,               0.002699,               0.002699
                     15,                0.91634,                 1.8561,                0.89062,                0.70891,                0.80926,                0.77816,                0.57844,                0.86493,                 1.3405,                0.85347,                0.07187,              0.0028698,              0.0028698
                     16,                  1.027,                 1.6768,                0.83942,                0.82734,                0.53333,                0.85281,                0.69112,                0.74993,                 1.4621,                0.84461,               0.070039,              0.0030386,              0.0030386
                     17,                0.90435,                  1.464,                0.84839,                0.78952,                0.72584,                0.90183,                0.72421,                0.76255,                  1.213,                0.85126,               0.068205,              0.0032055,              0.0032055
                     18,                0.91192,                 1.4478,                0.90006,                0.90825,                0.72491,                0.87134,                0.66039,                0.89286,                  1.089,                0.86349,                0.06637,              0.0033703,              0.0033703
                     19,                 1.0252,                 1.5703,                0.90884,                0.75184,                0.67452,                0.80051,                0.65793,                0.81173,                 1.5507,                0.86618,               0.064533,              0.0035332,              0.0035332
                     20,                0.94898,                 1.3224,                0.82462,                0.74221,                0.85349,                0.87253,                0.70637,                0.80007,                0.94651,                0.86392,               0.062694,              0.0036941,              0.0036941
                     21,                0.89264,                 1.2611,                0.82547,                0.83613,                0.57621,                0.75331,                0.56701,                0.94099,                  1.515,                0.87093,               0.060853,               0.003853,               0.003853
                     22,                0.95497,                 1.3706,                0.89854,                0.74662,                0.74815,                0.79571,                0.64681,                0.80117,                  1.159,                0.87565,                0.05901,              0.0040099,              0.0040099
                     23,                  1.234,                 1.2298,                0.84716,                0.87157,                0.73524,                0.83487,                0.56851,                 1.1494,                 1.0967,                0.89453,               0.057165,              0.0041649,              0.0041649
                     24,                 1.3177,                 1.4486,                 0.9686,                0.86644,                0.76523,                0.86015,                0.64768,                  1.028,                0.98976,                0.88904,               0.055318,              0.0043179,              0.0043179
                     25,                 1.1925,                 1.2841,                0.93826,                0.78285,                0.84444,                0.86517,                0.62621,                 1.1054,                0.98143,                0.89246,               0.053469,              0.0044689,              0.0044689
                     26,                 1.2253,                 1.2078,                0.89358,                0.81844,                 0.8112,                0.85401,                0.57472,                 1.0438,                 1.2739,                0.87703,               0.051618,              0.0046179,              0.0046179
                     27,                 1.1996,                 1.5882,                0.94047,                0.81844,                 0.8112,                0.85401,                0.57472,                 1.0438,                 1.2739,                0.87703,               0.049765,              0.0047649,              0.0047649
                     28,                0.96462,                  1.111,                0.83995,                0.89578,                0.83552,                0.84931,                0.63717,                0.95067,                0.97816,                0.87722,                0.04791,                0.00491,                0.00491
                     29,                  1.212,                 1.2458,                0.96676,                 0.7148,                0.75977,                0.82901,                0.62876,                0.98546,                 1.3302,                0.86813,               0.046053,              0.0050531,              0.0050531
                     30,                 1.1355,                  1.455,                0.90212,                 0.7148,                0.75977,                0.82901,                0.62876,                0.98546,                 1.3302,                0.86813,               0.044194,              0.0051941,              0.0051941
