                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.29824,                0.40604,                0.89762,                0.95587,                      1,                  0.995,                0.82082,                0.65258,                 0.7401,                   1.08,             0.00038624,             0.00038624,             0.00038624
                     38,                0.42122,                 0.6039,                0.90833,                0.95587,                      1,                  0.995,                0.82082,                0.65258,                 0.7401,                   1.08,             0.00039086,             0.00039086,             0.00039086
                     39,                0.42322,                0.60355,                 0.9929,                0.96129,                      1,                  0.995,                 0.7955,                0.58297,                 1.0294,                 1.0273,             0.00039515,             0.00039515,             0.00039515
                     40,                 0.4265,                0.56118,                 0.9511,                0.96129,                      1,                  0.995,                 0.7955,                0.58297,                 1.0294,                 1.0273,             0.00039911,             0.00039911,             0.00039911
                     41,                0.32745,                0.52616,                0.88824,                0.95599,                      1,                  0.995,                 0.7155,                0.82316,                 1.5641,                 1.3099,             0.00040275,             0.00040275,             0.00040275
                     42,                0.46181,                 0.8379,                 1.0023,                0.95599,                      1,                  0.995,                 0.7155,                0.82316,                 1.5641,                 1.3099,             0.00040605,             0.00040605,             0.00040605
                     43,                0.43702,                0.51906,                0.93743,                0.97389,                      1,                  0.995,                0.71261,                0.67914,                 1.5296,                 1.2247,             0.00040902,             0.00040902,             0.00040902
                     44,                0.37897,                0.46868,                0.94876,                0.97389,                      1,                  0.995,                0.71261,                0.67914,                 1.5296,                 1.2247,             0.00041166,             0.00041166,             0.00041166
                     45,                0.53552,                0.80143,                0.95785,                0.98114,                      1,                  0.995,                0.86174,                0.56985,                 1.2561,                 1.1361,             0.00041398,             0.00041398,             0.00041398
                     46,                 0.3947,                0.51272,                0.87841,                0.98114,                      1,                  0.995,                0.86174,                0.56985,                 1.2561,                 1.1361,             0.00041596,             0.00041596,             0.00041596
                     47,                0.48754,                0.47694,                0.95436,                0.98229,                      1,                  0.995,                0.76752,                 0.5007,                 0.9453,                 1.0636,             0.00041761,             0.00041761,             0.00041761
                     48,                0.40177,                0.46752,                 1.0195,                0.98229,                      1,                  0.995,                0.76752,                 0.5007,                 0.9453,                 1.0636,             0.00041893,             0.00041893,             0.00041893
                     49,                0.37497,                0.51312,                0.90817,                0.94306,                      1,                  0.995,                0.94515,                0.45696,                0.94484,                0.92002,             0.00041992,             0.00041992,             0.00041992
                     50,                  0.549,                0.71762,                0.96466,                0.94306,                      1,                  0.995,                0.94515,                0.45696,                0.94484,                0.92002,             0.00042059,             0.00042059,             0.00042059
                     51,                0.38446,                0.47858,                0.90536,                0.94039,                      1,                  0.995,                 0.8955,                0.47872,                0.73399,                0.97722,             0.00042092,             0.00042092,             0.00042092
                     52,                0.47803,                0.65886,                0.93037,                0.94039,                      1,                  0.995,                 0.8955,                0.47872,                0.73399,                0.97722,             0.00042092,             0.00042092,             0.00042092
                     53,                0.30906,                0.45195,                0.89141,                0.94039,                      1,                  0.995,                 0.8955,                0.47872,                0.73399,                0.97722,             0.00042059,             0.00042059,             0.00042059
                     54,                0.33709,                0.59179,                 0.9814,                0.95675,                      1,                  0.995,                0.94525,                0.44245,                0.62659,                0.90243,             0.00041993,             0.00041993,             0.00041993
